Phân loại chuyên môn,Cấp độ chuyên môn,Thuật ngữ (English),Tiếng Việt,Phát âm (IPA),Định nghĩa chuyên môn,Ứng dụng thực tế
Phong cách phục vụ,Trung cấp,Wine Pairing Service,Phục vụ ghép rượu,/waɪn ˈpɛrɪŋ ˈsɜːrvɪs/,Phục vụ rượu phù hợp với từng món ăn,Mỗi món ăn đều có rượu vang phù hợp đi kèm
Phong cách phục vụ,Cơ bản,Plated Service,Phục vụ đĩa sẵn,/ˈpleɪtəd ˈsɜːrvɪs/,Phục vụ đĩa đã được trang trí hoàn chỉnh,Món ăn đã hoàn thiện được mang thẳng ra phục vụ
Phong cách phục vụ,Cơ bản,Butler Service,Phục vụ quản gia,/ˈbʌtlər ˈsɜːrvɪs/,Phục vụ cá nhân hóa cao cấp như quản gia riêng,Phục vụ cá nhân với sự chú ý đặc biệt đến từng khách
Phong cách phục vụ,Cơ bản,Cafeteria Service,Phục vụ tự phục vụ,/ˌkæfəˈtɪriə ˈsɜːrvɪs/,Khách hàng tự phục vụ tại quầy,Khách tự phục vụ tại quầy như trong căng tin
Chuyên môn đồ uống,Cao cấp,Sommelier,Chuyên gia rượu vang,/sʌməˈlɪeɪ/,"Chuyên gia về rượu vang, tư vấn và phục vụ rượu chuyên nghiệp",Tư vấn Bordeaux 2010 phù hợp với steak wagyu
Chuyên môn đồ uống,Cao cấp,Wine Pairing,Ghép đôi rượu vang,/waɪn ˈpɛrɪŋ/,Nghệ thuật kết hợp rượu với món ăn để tăng cường hương vị,"Chablis với hàu tươi, Pinot Noir với vịt quay"
Chuyên môn đồ uống,Cao cấp,Decanting,Rót rượu sang bình,/dɪˈkæntɪŋ/,Chuyển rượu sang bình khác để loại bỏ cặn và thông khí,Chuyển rượu vang cũ sang bình thuỷ tinh trong suốt
Chuyên môn đồ uống,Cao cấp,Aerating,Thông khí rượu,/ˈɛreɪtɪŋ/,Cho không khí tiếp xúc với rượu để mở hương vị,Mở rượu vang đỏ 30 phút trước khi phục vụ
Chuyên môn đồ uống,Trung cấp,Wine Tasting,Nếm rượu vang,/waɪn ˈteɪstɪŋ/,"Quy trình đánh giá rượu qua màu sắc, mùi hương và vị","Đánh giá màu, mùi, vị để xác định chất lượng"
Chuyên môn đồ uống,Trung cấp,Cocktail Mixology,Pha chế cocktail,/ˈkɒkteɪl mɪkˈsɒlədʒi/,Nghệ thuật pha chế cocktail chuyên nghiệp,"Negroni, Martini, Old Fashioned theo công thức chuẩn"
Chuyên môn đồ uống,Trung cấp,Flair Bartending,Pha chế biểu diễn,/flɛr ˈbɑːrtendɪŋ/,Pha chế kết hợp với động tác biểu diễn,"Tom Cruise trong ""Cocktail"" - pha chế kèm biểu diễn"
Chuyên môn đồ uống,Cơ bản,Muddling,Nghiền nguyên liệu,/ˈmʌdəlɪŋ/,"Nghiền trái cây, thảo mộc để chiết xuất tinh dầu",Mojito - nghiền lá mint để chiết xuất tinh dầu
Chuyên môn đồ uống,Cơ bản,Shaking,Lắc cocktail,/ˈʃeɪkɪŋ/,Lắc mạnh để trộn và làm lạnh cocktail,Whiskey Sour - lắc mạnh với đá để tạo bọt
Chuyên môn đồ uống,Cơ bản,Stirring,Khuấy cocktail,/ˈstɜːrɪŋ/,Khuấy nhẹ nhàng để trộn mà không tạo bọt,Manhattan - khuấy nhẹ với đá để không làm đục
Chuyên môn đồ uống,Cao cấp,Wine Cellar Management,Quản lý hầm rượu,/waɪn ˈselər ˈmænɪdʒmənt/,"Quản lý, bảo quản và phân loại rượu trong hầm","Hầm rượu 18°C, độ ẩm 70%, không rung động"
Chuyên môn đồ uống,Cao cấp,Vintage Selection,Chọn lựa vintage,/ˈvɪntɪdʒ sɪˈlekʃən/,Chọn lựa rượu theo năm sản xuất và chất lượng,Chọn Vintage Champagne 2008 cho dịp đặc biệt
Chuyên môn đồ uống,Trung cấp,Temperature Control,Kiểm soát nhiệt độ,/ˈtempərətʃər kənˈtroʊl/,Kiểm soát nhiệt độ bảo quản và phục vụ rượu,"Rượu vang đỏ 16-18°C, trắng 8-12°C"
Chuyên môn đồ uống,Trung cấp,Glassware Selection,Chọn ly phù hợp,/ˈglæsˌwɛr sɪˈlekʃən/,Chọn ly phù hợp cho từng loại đồ uống,"Burgundy glass cho Pinot Noir, Bordeaux glass cho Cabernet"
Chuyên môn đồ uống,Cơ bản,Serving Protocol,Quy trình phục vụ,/ˈsɜːrvɪŋ ˈproʊtəˌkɔl/,Quy trình chuẩn mực phục vụ đồ uống,"Mở rượu vang, kiểm tra nút chai, cho khách nếm trước"
Phân loại thực đơn,Cao cấp,Degustation Menu,Thực đơn thưởng thức,/ˌdegəˈsteɪʃən ˈmenjuː/,Thực đơn nhiều món nhỏ để khách nếm thử đa dạng hương vị,8 món nhỏ showcase tài năng chef qua nhiều técnica
Phân loại thực đơn,Cao cấp,Prix Fixe Menu,Thực đơn giá cố định,/priː fɪks ˈmenjuː/,Thực đơn có giá cố định bao gồm nhiều món,Set menu 3 món $85: soup + main + dessert
Phân loại thực đơn,Cao cấp,Tasting Menu,Thực đơn nếm thử,/ˈteɪstɪŋ ˈmenjuː/,Thực đơn được thiết kế để trải nghiệm hương vị toàn diện,Chef tự chọn 6 món để khách trải nghiệm đa dạng
Phân loại thực đơn,Trung cấp,À la Carte,Gọi món riêng lẻ,/ˌɑː lə ˈkɑːrt/,"Gọi món riêng lẻ theo sở thích, không theo set","Khách chọn soup $8, steak $45, dessert $12 riêng biệt"
Phân loại thực đơn,Trung cấp,Table d'Hôte,Thực đơn cố định,/ˌtɑːbəl ˈdoʊt/,Thực đơn cố định với lựa chọn hạn chế,"Set lunch $25: salad, fish, coffee - không đổi"
Phân loại thực đơn,Trung cấp,Seasonal Menu,Thực đơn theo mùa,/ˈsiːzənəl ˈmenjuː/,Thực đơn thay đổi theo mùa vụ nguyên liệu,"Menu mùa xuân: măng tây, mùa thu: nấm truffle"
Phân loại thực đơn,Cơ bản,Chef's Special,Món đặc biệt bếp trưởng,/ʃefs ˈspeʃəl/,Món đặc biệt do bếp trưởng sáng tạo hàng ngày,Hôm nay có special: sea bass vừa về từ bến cảng
Phân loại thực đơn,Cơ bản,Market Menu,Thực đơn chợ,/ˈmɑːrkɪt ˈmenjuː/,Thực đơn dựa trên nguyên liệu tươi từ chợ,Menu thay đổi dựa trên nguyên liệu tươi từ chợ sáng
Phân loại thực đơn,Cơ bản,Pre-Theater Menu,Thực đơn trước kịch,/priː ˈθiːətər ˈmenjuː/,Thực đơn nhanh cho khách đi xem kịch,Menu 2 tiếng hoàn thành trước 8pm curtain call
Phân loại thực đơn,Cao cấp,Wine Dinner Menu,Thực đơn tiệc rượu,/waɪn ˈdɪnər ˈmenjuː/,Thực đơn kết hợp với rượu vang cao cấp,Menu 5 món kết hợp với 5 ly rượu vang premium
Phân loại thực đơn,Trung cấp,Vegetarian Menu,Thực đơn chay,/ˌvedʒəˈtɛriən ˈmenjuː/,"Thực đơn không có thịt, chỉ có rau và sữa","Menu không thịt: quinoa salad, mushroom risotto"
Phân loại thực đơn,Trung cấp,Vegan Menu,Thực đơn thuần chay,/ˈviːgən ˈmenjuː/,Thực đơn hoàn toàn từ thực vật,"Menu hoàn toàn thực vật: không trứng, sữa, mật ong"
Phân loại thực đơn,Cơ bản,Children's Menu,Thực đơn trẻ em,/ˈtʃɪldrənz ˈmenjuː/,Thực đơn phù hợp với trẻ em,"Menu trẻ em: chicken nuggets, mac & cheese"
Phân loại thực đơn,Cơ bản,Senior Menu,Thực đơn người cao tuổi,/ˈsiːnjər ˈmenjuː/,Thực đơn cho người cao tuổi với khẩu phần nhỏ,"Menu người cao tuổi: portion nhỏ, dễ nhai"
Phân loại thực đơn,Cơ bản,Gluten-Free Menu,Thực đơn không gluten,/ˈgluːtən friː ˈmenjuː/,Thực đơn không chứa gluten cho người dị ứng,Menu không gluten: thay thế bằng rice flour
Vận hành bếp,Cao cấp,Mise en Place,Chuẩn bị sẵn sàng,/miːz ɒn ˈplɑːs/,Chuẩn bị tất cả nguyên liệu và dụng cụ trước khi nấu,"Tất cả nguyên liệu cắt sẵn, gia vị đong sẵn trước service"
Vận hành bếp,Cao cấp,Brigade System,Hệ thống phân đội,/brɪˈgeɪd ˈsɪstəm/,Hệ thống phân công rõ ràng trong bếp chuyên nghiệp,Executive Chef > Sous Chef > CDP > Demi > Commis
Vận hành bếp,Trung cấp,Expediting,Điều phối xuất món,/ˈekspəˌdaɪtɪŋ/,Kiểm tra và điều phối món ăn trước khi ra khách,"Kiểm tra temperature, presentation trước khi pass"
Vận hành bếp,Trung cấp,Food Costing,Tính giá thành món ăn,/fuːd ˈkɔːstɪŋ/,Tính toán chi phí nguyên liệu cho từng món ăn,Food cost 28% revenue - steak cost $12 bán $42
Vận hành bếp,Trung cấp,Portion Control,Kiểm soát khẩu phần,/ˈpɔːrʃən kənˈtroʊl/,Kiểm soát kích thước và trọng lượng khẩu phần chuẩn,"Mỗi portion steak 200g, mỗi ly wine 150ml chuẩn"
Vận hành bếp,Cơ bản,Kitchen Prep,Chuẩn bị bếp,/ˈkɪtʃən prep/,Chuẩn bị nguyên liệu và thiết lập bếp trước ca làm,"Prep list: cắt 5kg onion, làm 2L stock, marinate 20 steaks"
Vận hành bếp,Cơ bản,Line Cooking,Nấu ăn dây chuyền,/laɪn ˈkʊkɪŋ/,"Nấu ăn theo dây chuyền, mỗi người một nhiệm vụ cụ thể","Grill station nướng, sauté station xào, garde manger salad"
Vận hành bếp,Cơ bản,Plating,Trang trí đĩa,/ˈpleɪtɪŋ/,Trang trí và trình bày món ăn trên đĩa nghệ thuật,"Plating: protein 6h, starch 3h, vegetable 9h position"
Vận hành bếp,Cao cấp,Quality Control,Kiểm soát chất lượng,/ˈkwɑːləti kənˈtroʊl/,Kiểm tra chất lượng món ăn trước khi phục vụ,"Check temperature 63°C, seasoning, presentation mỗi dish"
Vận hành bếp,Cao cấp,Menu Engineering,Kỹ thuật thực đơn,/ˈmenjuː ˌendʒəˈnɪrɪŋ/,Thiết kế thực đơn tối ưu lợi nhuận và sở thích khách,"Phân tích menu: dish nào profitable, nào cần adjust giá"
Vận hành bếp,Trung cấp,Inventory Management,Quản lý kho,/ˈɪnvənˌtɔri ˈmænɪdʒmənt/,"Quản lý nguyên liệu, theo dõi tồn kho và đặt hàng","Theo dõi inventory, đặt hàng khi stock còn 20%"
Vận hành bếp,Trung cấp,HACCP Standards,Tiêu chuẩn HACCP,/ˈhæsəp ˈstændərdz/,Tiêu chuẩn quốc tế về an toàn thực phẩm,"Critical Control Points: nhiệt độ, thời gian, contamination"
Vận hành bếp,Cơ bản,Food Safety,An toàn thực phẩm,/fuːd ˈseɪfti/,Đảm bảo vệ sinh và an toàn trong chế biến thực phẩm,"Wash hands, separate raw/cooked, maintain cold chain"
Vận hành bếp,Cơ bản,Cross-Training,Đào tạo chéo,/krɔs ˈtreɪnɪŋ/,Đào tạo nhân viên làm nhiều vị trí khác nhau,"Server có thể expedite, prep cook có thể work line"
Vận hành bếp,Cơ bản,Station Setup,Thiết lập vị trí,/ˈsteɪʃən ˈsetʌp/,Sắp xếp và tổ chức không gian làm việc hiệu quả,"Mỗi station có toolkit riêng, clean as you go"
