english,vietnamese,ipa,category,definition,example,level
Sleep Mask,Mặt nạ ngủ,[sliːp mæsk],Wellness & Bleisure,Mặt nạ chống ánh sáng,"Sleep mask blocks all light",Advanced
Quiet Zones,Khu vực yên tĩnh,[ˈkwaɪət zoʊnz],Wellness & Bleisure,Không gian cách âm tuyệt đối,"Quiet zones maintain silence",Advanced
Soundproofing Technology,Công nghệ cách âm,[ˈsaʊndpruːfɪŋ tekˈnɑːlədʒi],Wellness & Bleisure,Công nghệ loại bỏ tiếng ồn,"Soundproofing technology blocks noise",Advanced
Acoustic Panels,Tấm tiêu âm,[əˈkuːstɪk ˈpænəlz],Wellness & Bleisure,Vật liệu hấp thụ âm thanh,"Acoustic panels improve sound quality",Advanced
Workation Packages,Gói du lịch kết hợp công việc,[wɜːrˈkeɪʃən ˈpækɪdʒəz],Wellness & Bleisure,Dịch vụ kết hợp làm việc và nghỉ dưỡng,"Workation packages include workspace setup",Advanced
Digital Nomad,Du mục số,[ˈdɪdʒɪtəl ˈnoʊmæd],Wellness & Bleisure,Người làm việc từ xa qua internet,"Digital nomads need reliable WiFi",Advanced
Remote Work,Làm việc từ xa,[rɪˈmoʊt wɜːrk],Wellness & Bleisure,Công việc không cần đến văn phòng,"Remote work requires discipline",Advanced
Video Conference Setup,Thiết lập họp trực tuyến,[ˈvɪdioʊ ˈkɑːnfərəns ˈsetʌp],Wellness & Bleisure,Hệ thống họp qua video,"Video conference setup includes professional lighting",Advanced
Zero Waste,Không rác thải,[ˈziːroʊ weɪst],Sustainability,Hệ thống không tạo rác thải,"Zero waste policy reduces environmental impact",Advanced
Wet Waste Management,Quản lý rác thải ướt,[wet weɪst ˈmænɪdʒmənt],Sustainability,Xử lý rác thải hữu cơ,"Wet waste management includes composting",Advanced
Dry Waste Sorting,Phân loại rác thải khô,[draɪ weɪst ˈsɔːrtɪŋ],Sustainability,Phân loại rác có thể tái chế,"Dry waste sorting improves recycling rates",Advanced
Recycling Programs,Chương trình tái chế,[riːˈsaɪklɪŋ ˈproʊɡræmz],Sustainability,Hệ thống tái sử dụng vật liệu,"Recycling programs reduce landfill waste",Advanced
Composting Systems,Hệ thống ủ phân,[kəmˈpoʊstɪŋ ˈsɪstəmz],Sustainability,Xử lý rác hữu cơ thành phân bón,"Composting systems create organic fertilizer",Advanced
Biodegradable Materials,Vật liệu phân hủy sinh học,[ˌbaɪoʊdɪˈɡreɪdəbəl məˈtɪriəlz],Sustainability,Vật liệu tự phân hủy trong tự nhiên,"Biodegradable materials decompose naturally",Advanced
Bulk Amenities,Tiện nghi số lượng lớn,[bʌlk əˈmenətiz],Sustainability,Sản phẩm đóng gói lớn giảm rác thải,"Bulk amenities reduce packaging waste",Advanced
Digital Menus,Thực đơn điện tử,[ˈdɪdʒɪtəl ˈmenjuːz],Sustainability,Menu hiển thị trên thiết bị điện tử,"Digital menus save paper",Advanced
Reusable Containers,Hộp đựng tái sử dụng,[riːˈjuːzəbəl kənˈteɪnərz],Sustainability,Vật chứa có thể sử dụng nhiều lần,"Reusable containers reduce waste",Advanced
Local Sourcing,Nguồn cung ứng địa phương,[ˈloʊkəl ˈsɔːrsɪŋ],Sustainability,Mua sắm từ nhà cung cấp địa phương,"Local sourcing supports community",Advanced
Farm-to-Table Programs,Chương trình từ trang trại đến bàn ăn,[fɑːrm tuː ˈteɪbəl ˈproʊɡræmz],Sustainability,Thực phẩm tươi từ nông trại,"Farm-to-table programs ensure freshness",Advanced
Seasonal Menu Planning,Lập kế hoạch thực đơn theo mùa,[ˈsiːzənəl ˈmenjuː ˈplænɪŋ],Sustainability,Menu dựa trên sản phẩm theo mùa,"Seasonal menu planning uses local produce",Advanced
Artisanal Product Integration,Tích hợp sản phẩm thủ công,[ˌɑːrtɪˈzænəl ˈprɑːdəkt ˌɪntɪˈɡreɪʃən],Sustainability,Sử dụng sản phẩm làm thủ công,"Artisanal product integration preserves traditions",Advanced
Community-based Tourism,Du lịch dựa vào cộng đồng,[kəˈmjuːnəti beɪst ˈtʊrɪzəm],Sustainability,Du lịch hỗ trợ cộng đồng địa phương,"Community-based tourism benefits locals",Advanced
Green Certifications,Chứng nhận xanh,[ɡriːn ˌsɜːrtɪfɪˈkeɪʃənz],Sustainability,Chứng nhận đạt tiêu chuẩn môi trường,"Green certifications demonstrate commitment",Advanced
LEED Certification,Chứng nhận LEED,[liːd ˌsɜːrtɪfɪˈkeɪʃən],Sustainability,Chứng nhận thiết kế năng lượng môi trường,"LEED certification shows sustainability",Advanced
Energy Efficiency,Hiệu quả năng lượng,[ˈenərdʒi ɪˈfɪʃənsi],Sustainability,Sử dụng năng lượng tối ưu,"Energy efficiency reduces costs",Advanced
Water Conservation,Bảo tồn nước,[ˈwɔːtər ˌkɑːnsərˈveɪʃən],Sustainability,Tiết kiệm và bảo vệ nguồn nước,"Water conservation is essential",Advanced
Carbon Footprint,Dấu chân carbon,[ˈkɑːrbən ˈfʊtprɪnt],Sustainability,Lượng khí thải carbon tạo ra,"Reducing carbon footprint helps environment",Advanced
Renewable Energy Systems,Hệ thống năng lượng tái tạo,[rɪˈnuːəbəl ˈenərdʒi ˈsɪstəmz],Sustainability,Năng lượng từ nguồn tự nhiên,"Renewable energy systems use solar power",Advanced
Sustainable Practices,Thực hành bền vững,[səˈsteɪnəbəl ˈpræktɪsəz],Sustainability,Hoạt động thân thiện môi trường,"Sustainable practices protect resources",Advanced
Environmental Impact,Tác động môi trường,[ɪnˌvaɪrənˈmentəl ˈɪmpækt],Sustainability,Ảnh hưởng đến môi trường tự nhiên,"Environmental impact must be minimized",Advanced
Waste Hierarchy,Thứ tự ưu tiên xử lý rác,[weɪst ˈhaɪərɑːrki],Sustainability,Ưu tiên giảm thiểu, tái sử dụng, tái chế,"Waste hierarchy guides disposal decisions",Advanced
Circular Economy,Kinh tế tuần hoàn,[ˈsɜːrkjələr ɪˈkɑːnəmi],Sustainability,Mô hình kinh tế tái sử dụng tài nguyên,"Circular economy eliminates waste",Advanced
Biophilic Design,Thiết kế sinh thái,[ˌbaɪoʊˈfɪlɪk dɪˈzaɪn],Sustainability,Thiết kế kết nối với thiên nhiên,"Biophilic design improves wellbeing",Advanced
Smart Building Systems,Hệ thống tòa nhà thông minh,[smɑːrt ˈbɪldɪŋ ˈsɪstəmz],Sustainability,Công nghệ tự động quản lý tòa nhà,"Smart building systems optimize energy",Advanced
Carbon Neutral Operations,Vận hành trung hòa carbon,[ˈkɑːrbən ˈnuːtrəl ˌɑːpəˈreɪʃənz],Sustainability,Hoạt động không phát thải carbon,"Carbon neutral operations offset emissions",Advanced
