english,vietnamese,ipa,category,definition,example,level
Nutrient,Dinh dưỡng,[ˈnuːtriənt],Allergies & Diet,Food component,Essential nutrients.,Basic
Antioxidant,Chất chống oxy hóa,[ˌæntiˈɑːksədənt],Allergies & Diet,Free radical fighter,Antioxidant rich foods.,Basic
Probiotic,Probiotic,[ˌproʊbaɪˈɑːtɪk],Allergies & Diet,Beneficial bacteria,Probiotic supplements.,Basic
Prebiotic,Prebiotic,[ˌpriːbaɪˈɑːtɪk],Allergies & Diet,Gut bacteria food,Prebiotic foods.,Basic
Enzyme,Enzyme,[ˈenzaɪm],Allergies & Diet,Digestive catalyst,Digestive enzymes.,Basic
Metabolism,Chuyển hóa,[məˈtæbəlɪzəm],Allergies & Diet,Body's chemical processes,Boost metabolism.,Basic
Hydration,Cấp nước,[haɪˈdreɪʃən],Allergies & Diet,Water balance,Proper hydration.,Basic
Electrolyte,Điện giải,[ɪˈlektrəlaɪt],Allergies & Diet,Mineral salts,Electrolyte balance.,Basic
pH Balance,Cân bằng pH,[piː eɪtʃ ˈbæləns],Allergies & Diet,Acid-base balance,pH balanced diet.,Basic
Inflammation,Viêm,[ˌɪnfləˈmeɪʃən],Allergies & Diet,Body's healing response,Reduce inflammation.,Basic
Oxidative Stress,Stress oxy hóa,[ˈɑːksəˌdeɪtɪv stres],Allergies & Diet,Free radical damage,Combat oxidative stress.,Basic
Free Radicals,Gốc tự do,[friː ˈrædɪkəlz],Allergies & Diet,Unstable molecules,Neutralize free radicals.,Basic
Toxins,Độc tố,[ˈtɑːksɪnz],Allergies & Diet,Harmful substances,Detox from toxins.,Basic
Heavy Metals,Kim loại nặng,[ˈhevi ˈmetəlz],Allergies & Diet,Toxic elements,Heavy metal detox.,Basic
Pesticides,Thuốc trừ sâu,[ˈpestəsaɪdz],Allergies & Diet,Chemical crop protection,Organic without pesticides.,Basic
Additives,Chất phụ gia,[ˈædətɪvz],Allergies & Diet,Food preservatives,Avoid artificial additives.,Basic
Preservatives,Chất bảo quản,[prɪˈzɜːrvətɪvz],Allergies & Diet,Food shelf life extenders,Natural preservatives.,Basic
Artificial Colors,Màu nhân tạo,[ˌɑːrtəˈfɪʃəl ˈkʌlərz],Allergies & Diet,Synthetic food coloring,Avoid artificial colors.,Basic
Artificial Flavors,Hương vị nhân tạo,[ˌɑːrtəˈfɪʃəl ˈfleɪvərz],Allergies & Diet,Synthetic taste enhancers,Natural flavors only.,Basic
MSG,Bột ngọt,[em es dʒiː],Allergies & Diet,Monosodium glutamate,MSG sensitivity.,Basic
Trans Fat,Chất béo chuyển hóa,[trænz fæt],Allergies & Diet,Unhealthy fat,Avoid trans fats.,Basic
Saturated Fat,Chất béo bão hòa,[ˈsætʃəreɪtɪd fæt],Allergies & Diet,Solid fat,Limit saturated fat.,Basic
Unsaturated Fat,Chất béo không bão hòa,[ʌnˈsætʃəreɪtɪd fæt],Allergies & Diet,Liquid fat,Healthy unsaturated fats.,Basic
Omega-3,Omega-3,[oʊˈmeɪgə θriː],Allergies & Diet,Essential fatty acid,Omega-3 supplements.,Basic
Omega-6,Omega-6,[oʊˈmeɪgə sɪks],Allergies & Diet,Essential fatty acid,Omega-6 balance.,Basic
Cholesterol,Cholesterol,[kəˈlestərɔːl],Allergies & Diet,Blood fat,Lower cholesterol.,Basic
Triglycerides,Triglyceride,[traɪˈglɪsəraɪdz],Allergies & Diet,Blood fat,Reduce triglycerides.,Basic
Blood Sugar,Đường huyết,[blʌd ˈʃʊgər],Allergies & Diet,Glucose levels,Control blood sugar.,Basic
Insulin,Insulin,[ˈɪnsəlɪn],Allergies & Diet,Blood sugar hormone,Insulin sensitivity.,Basic
Glycemic Index,Chỉ số đường huyết,[glaɪˈsiːmɪk ˈɪndeks],Allergies & Diet,Carb impact on blood sugar,Low glycemic index foods.,Basic
Food Journal,Nhật ký ăn uống,[fuːd ˈdʒɜːrnəl],Allergies & Diet,Meal tracking,Keep food journal.,Basic
Meal Planning,Lập kế hoạch bữa ăn,[miːl ˈplænɪŋ],Allergies & Diet,Preparing meals ahead,Weekly meal planning.,Basic
Portion Control,Kiểm soát khẩu phần,[ˈpɔːrʃən kənˈtroʊl],Allergies & Diet,Managing serving sizes,Portion control tips.,Basic
Mindful Eating,Ăn uống có ý thức,[ˈmaɪndfəl ˈiːtɪŋ],Allergies & Diet,Conscious food consumption,Practice mindful eating.,Basic
Intuitive Eating,Ăn uống trực giác,[ɪnˈtuːətɪv ˈiːtɪŋ],Allergies & Diet,Body-guided eating,Intuitive eating approach.,Basic
Food Combining,Kết hợp thực phẩm,[fuːd kəmˈbaɪnɪŋ],Allergies & Diet,Optimal food pairing,Food combining principles.,Basic
Meal Timing,Thời gian bữa ăn,[miːl ˈtaɪmɪŋ],Allergies & Diet,When to eat,Optimal meal timing.,Basic
Snacking,Ăn vặt,[ˈsnækɪŋ],Allergies & Diet,Between-meal eating,Healthy snacking.,Basic
Hydration Timing,Thời gian uống nước,[haɪˈdreɪʃən ˈtaɪmɪŋ],Allergies & Diet,When to drink water,Proper hydration timing.,Basic
