english,vietnamese,ipa,category,definition,example,level
Package Rate,Giá gói,[ˈpækɪdʒ reɪt],Revenue,Bundled pricing,Romance package rate.,Advanced
Group Rate,Giá đoàn,[gruːp reɪt],Revenue,Multiple room discount,Special group rate.,Advanced
Shoulder Season,Mùa trung bình,[ˈʃoʊldər ˈsiːzən],Revenue,Medium demand period,Shoulder season pricing.,Advanced
Peak Season,Mùa cao điểm,[piːk ˈsiːzən],Revenue,High demand period,Peak season rates.,Advanced
Low Season,Mùa thấp điểm,[loʊ ˈsiːzən],Revenue,Low demand period,Low season promotions.,Advanced
Minimum Stay,Lưu trú tối thiểu,[ˈmɪnəməm steɪ],Revenue,Required night duration,3-night minimum stay.,Advanced
Advance Purchase,Mua trước,[ədˈvæns ˈpɜːrtʃəs],Revenue,Early booking discount,21-day advance purchase.,Advanced
Last Minute Rate,Giá phút cuối,[læst ˈmɪnət reɪt],Revenue,Short notice pricing,Last minute rate available.,Advanced
Length of Stay,Thời gian lưu trú,[leŋθ əv steɪ],Revenue,Duration pricing,Optimize length of stay.,Advanced
General Manager,Tổng giám đốc,[ˈdʒenərəl ˈmænɪdʒər],Management,Hotel top executive,Meet with general manager.,Advanced
Assistant Manager,Phó giám đốc,[əˈsɪstənt ˈmænɪdʒər],Management,Deputy manager,Assistant manager on duty.,Advanced
Department Head,Trưởng bộ phận,[dɪˈpɑːrtmənt hed],Management,Division leader,Department head meeting.,Advanced
Supervisor,Giám sát viên,[ˈsuːpərˌvaɪzər],Management,Team leader,Night shift supervisor.,Advanced
Team Leader,Trưởng nhóm,[tiːm ˈliːdər],Management,Group coordinator,Housekeeping team leader.,Advanced
Shift Manager,Quản lý ca,[ʃɪft ˈmænɪdʒər],Management,Duty period supervisor,Call shift manager.,Advanced
Operations Manager,Quản lý vận hành,[ˌɑːpəˈreɪʃənz ˈmænɪdʒər],Management,Daily operations head,Operations manager review.,Advanced
Human Resources,Nhân sự,[ˈhjuːmən ˈriːsɔːrsəz],Management,Staff management,HR department handles hiring.,Advanced
Training Program,Chương trình đào tạo,[ˈtreɪnɪŋ ˈproʊgræm],Management,Employee education,Mandatory training program.,Advanced
Performance Review,Đánh giá hiệu suất,[pərˈfɔːrməns rɪˈvjuː],Management,Employee evaluation,Annual performance review.,Advanced
KPI,Chỉ số hiệu suất chính,[keɪ piː aɪ],Management,Key Performance Indicator,Track monthly KPIs.,Advanced
SOP,Quy trình vận hành chuẩn,[es oʊ piː],Management,Standard Operating Procedure,Follow SOP guidelines.,Advanced
Quality Assurance,Đảm bảo chất lượng,[ˈkwɑːləti əˈʃʊrəns],Management,Service standards,Quality assurance audit.,Advanced
Brand Standards,Tiêu chuẩn thương hiệu,[brænd ˈstændərdz],Management,Company requirements,Maintain brand standards.,Advanced
Service Recovery,Phục hồi dịch vụ,[ˈsɜːrvɪs rɪˈkʌvəri],Management,Problem resolution,Implement service recovery.,Advanced
Guest Experience,Trải nghiệm khách hàng,[gest ɪkˈspɪriəns],Management,Customer journey,Enhance guest experience.,Advanced
Mystery Shopper,Khách hàng bí ẩn,[ˈmɪstəri ˈʃɑːpər],Management,Secret evaluator,Mystery shopper visit.,Advanced
Audit,Kiểm toán,[ˈɔːdət],Management,Inspection review,Monthly audit results.,Advanced
Compliance,Tuân thủ,[kəmˈplaɪəns],Management,Rule adherence,Ensure full compliance.,Advanced
Risk Management,Quản lý rủi ro,[rɪsk ˈmænɪdʒmənt],Management,Hazard control,Risk management protocol.,Advanced
Crisis Management,Quản lý khủng hoảng,[ˈkraɪsəs ˈmænɪdʒmənt],Management,Emergency response,Crisis management plan.,Advanced
Succession Planning,Kế hoạch kế nhiệm,[səkˈseʃən ˈplænɪŋ],Management,Leadership development,Succession planning important.,Advanced
Change Management,Quản lý thay đổi,[tʃeɪndʒ ˈmænɪdʒmənt],Management,Transition leadership,Change management skills.,Advanced
Stakeholder,Bên liên quan,[ˈsteɪkˌhoʊldər],Management,Interest parties,Inform all stakeholders.,Advanced
ROI,Tỷ suất sinh lời,[ɑːr oʊ aɪ],Management,Return on Investment,Calculate ROI.,Advanced
Budget Planning,Lập kế hoạch ngân sách,[ˈbʌdʒət ˈplænɪŋ],Management,Financial forecasting,Annual budget planning.,Advanced
Cost Control,Kiểm soát chi phí,[kɔːst kənˈtroʊl],Management,Expense management,Implement cost control.,Advanced
Profit Margin,Biên lợi nhuận,[ˈprɑːfət ˈmɑːrdʒən],Management,Earnings percentage,Improve profit margins.,Advanced
Benchmarking,So sánh chuẩn,[ˈbentʃmɑːrkɪŋ],Management,Performance comparison,Industry benchmarking.,Advanced
Innovation,Đổi mới,[ˌɪnəˈveɪʃən],Management,Creative improvement,Drive innovation.,Advanced
Sustainability,Tính bền vững,[səˌsteɪnəˈbɪləti],Sustainability,Environmental responsibility,Focus on sustainability.,Advanced
Carbon Footprint,Dấu chân carbon,[ˈkɑːrbən ˈfʊtprɪnt],Sustainability,Environmental impact,Reduce carbon footprint.,Advanced
Green Certification,Chứng nhận xanh,[griːn sərˌtəfəˈkeɪʃən],Sustainability,Environmental standards,Achieve green certification.,Advanced
Renewable Energy,Năng lượng tái tạo,[rɪˈnuːəbəl ˈenərdʒi],Sustainability,Clean power sources,Use renewable energy.,Advanced
Waste Reduction,Giảm chất thải,[weɪst rɪˈdʌkʃən],Sustainability,Minimizing garbage,Implement waste reduction.,Advanced
Water Conservation,Bảo tồn nước,[ˈwɔːtər ˌkɑːnsərˈveɪʃən],Sustainability,Water saving,Water conservation program.,Advanced
Biodegradable,Có thể phân hủy sinh học,[ˌbaɪoʊdɪˈgreɪdəbəl],Sustainability,Naturally decomposing,Use biodegradable products.,Advanced
Zero Waste,Không chất thải,[ˈzɪroʊ weɪst],Sustainability,No garbage goal,Zero waste initiative.,Advanced
Circular Economy,Kinh tế tuần hoàn,[ˈsɜːrkjələr ɪˈkɑːnəmi],Sustainability,Reuse system,Circular economy model.,Advanced
ESG,Môi trường - Xã hội - Quản trị,[iː es dʒiː],Sustainability,Environmental Social Governance,ESG compliance important.,Advanced
Culinary Arts,Nghệ thuật ẩm thực,[ˈkʌləneri ɑːrts],Fine Dining,Cooking artistry,Master of culinary arts.,Advanced
Fusion Cuisine,Ẩm thực fusion,[ˈfjuːʒən kwəˈziːn],Fine Dining,Combined cooking styles,Asian-French fusion cuisine.,Advanced
Nouvelle Cuisine,Ẩm thực mới,[nuˈvel kwəˈziːn],Fine Dining,Modern French cooking,Nouvelle cuisine techniques.,Advanced
Haute Cuisine,Ẩm thực cao cấp,[oʊt kwəˈziːn],Fine Dining,High-end cooking,Traditional haute cuisine.,Advanced
Culinary Heritage,Di sản ẩm thực,[ˈkʌləneri ˈherətɪdʒ],Fine Dining,Food traditions,Preserve culinary heritage.,Advanced
Gastronomic Journey,Hành trình ẩm thực,[ˌgæstrəˈnɑːmɪk ˈdʒɜːrni],Fine Dining,Food adventure,Embark on gastronomic journey.,Advanced
Flavor Profile,Hồ sơ hương vị,[ˈfleɪvər ˈproʊfaɪl],Fine Dining,Taste characteristics,Complex flavor profile.,Advanced
Culinary Philosophy,Triết lý ẩm thực,[ˈkʌləneri fəˈlɑːsəfi],Fine Dining,Cooking beliefs,Chef's culinary philosophy.,Advanced
Sensory Experience,Trải nghiệm giác quan,[ˈsensəri ɪkˈspɪriəns],Fine Dining,Multi-sense dining,Complete sensory experience.,Advanced
Sommelier,Chuyên gia rượu vang,[sʌməˈlɪeɪ],Wine Service,Wine expert,Consult with sommelier.,Advanced
Wine Pairing,Ghép đôi rượu vang,[waɪn ˈperɪŋ],Wine Service,Food and wine matching,Perfect wine pairing.,Advanced
Decanting,Rót rượu sang bình,[dɪˈkæntɪŋ],Wine Service,Wine aeration process,Red wine needs decanting.,Advanced
Aerating,Thông khí,[ˈerəˌteɪtɪŋ],Wine Service,Exposing wine to air,Aerating improves flavor.,Advanced
Vintage,Năm sản xuất,[ˈvɪntɪdʒ],Wine Service,Wine year,Excellent 2018 vintage.,Advanced
Terroir,Đặc trưng vùng,[terˈwɑːr],Wine Service,Regional character,Bordeaux terroir.,Advanced
Appellation,Vùng sản xuất,[ˌæpəˈleɪʃən],Wine Service,Wine region designation,Champagne appellation.,Advanced
Tannins,Chất tanin,[ˈtænɪnz],Wine Service,Wine compounds,High tannin content.,Advanced
Acidity,Độ chua,[əˈsɪdəti],Wine Service,Wine sharpness,Balanced acidity.,Advanced
Body,Thân rượu,[ˈbɑːdi],Wine Service,Wine weight,Full-bodied red wine.,Advanced
Finish,Hậu vị,[ˈfɪnɪʃ],Wine Service,Aftertaste,Long smooth finish.,Advanced
Bouquet,Hương thơm,[buˈkeɪ],Wine Service,Wine aroma,Complex bouquet.,Advanced
Nose,Mùi hương,[noʊz],Wine Service,Wine smell,Pleasant nose.,Advanced
Legs,Vệt rượu,[legz],Wine Service,Wine drips on glass,Good legs indicate quality.,Advanced
Cellar,Hầm rượu,[ˈselər],Wine Service,Wine storage,Extensive wine cellar.,Advanced
Corked,Bị hỏng nút chai,[kɔːrkt],Wine Service,Wine defect,This wine is corked.,Advanced
Oxidized,Bị oxy hóa,[ˈɑːksəˌdaɪzd],Wine Service,Air-damaged wine,Wine tastes oxidized.,Advanced
Sediment,Cặn rượu,[ˈsedəmənt],Wine Service,Wine deposits,Filter out sediment.,Advanced
Champagne Flute,Ly champagne,[ʃæmˈpeɪn fluːt],Wine Service,Sparkling wine glass,Serve in champagne flute.,Advanced
Wine Glasses,Ly rượu vang,[waɪn ˈglæsəz],Wine Service,Proper stemware,Use appropriate wine glasses.,Advanced
Burgundy Glass,Ly Burgundy,[ˈbɜːrgəndi glæs],Wine Service,Wide bowl glass,Pinot Noir in Burgundy glass.,Advanced
Bordeaux Glass,Ly Bordeaux,[bɔːrˈdoʊ glæs],Wine Service,Tall wine glass,Cabernet in Bordeaux glass.,Advanced
Temperature Control,Kiểm soát nhiệt độ,[ˈtempərətʃər kənˈtroʊl],Wine Service,Proper serving temp,Maintain temperature control.,Advanced
Chilled,Làm lạnh,[tʃɪld],Wine Service,Cold temperature,White wine served chilled.,Advanced
Room Temperature,Nhiệt độ phòng,[ruːm ˈtempərətʃər],Wine Service,Ambient temperature,Red wine at room temperature.,Advanced
Ice Bucket,Xô đá,[aɪs ˈbʌkət],Wine Service,Wine chiller,Champagne in ice bucket.,Advanced
Wine Opener,Dụng cụ mở rượu,[waɪn ˈoʊpənər],Wine Service,Corkscrew tool,Professional wine opener.,Advanced
Corkscrew,Cái mở nút chai,[ˈkɔːrkskruː],Wine Service,Cork removal tool,Use waiter's corkscrew.,Advanced
Wine Tasting,Nếm rượu vang,[waɪn ˈteɪstɪŋ],Wine Service,Wine evaluation,Weekly wine tasting.,Advanced
Flight,Bộ rượu thử,[flaɪt],Wine Service,Wine sampling set,Pinot Noir flight.,Advanced
Revenue Management,Quản lý doanh thu,[ˈrevəˌnuː ˈmænɪdʒmənt],Revenue,Income optimization,Implement revenue management.,Advanced
Yield Management,Quản lý lợi nhuận,[jiːld ˈmænɪdʒmənt],Revenue,Profit optimization,Yield management strategies.,Advanced
ADR,Giá phòng bình quân,[eɪ diː ɑːr],Revenue,Average Daily Rate,ADR increased 15%.,Advanced
RevPAR,Doanh thu phòng trên phòng có sẵn,[ˈrevpɑːr],Revenue,Revenue Per Available Room,RevPAR performance strong.,Advanced
Occupancy Rate,Tỷ lệ lấp đầy,[ˈɑːkjəpənsi reɪt],Revenue,Room utilization,95% occupancy rate.,Advanced
Market Segmentation,Phân khúc thị trường,[ˈmɑːrkət ˌsegmənˈteɪʃən],Revenue,Customer categories,Focus on market segmentation.,Advanced
Dynamic Pricing,Định giá động,[daɪˈnæmɪk ˈpraɪsɪŋ],Revenue,Flexible rate strategy,Dynamic pricing model.,Advanced
Demand Forecasting,Dự báo nhu cầu,[dɪˈmænd ˈfɔːrkæstɪŋ],Revenue,Predicting customer needs,Accurate demand forecasting.,Advanced
Competitive Analysis,Phân tích đối thủ,[kəmˈpetətɪv əˈnæləsəs],Revenue,Market comparison,Monthly competitive analysis.,Advanced
