Phân loại chuyên môn,Cấp độ chuyên môn,Thuật ngữ (English),Tiếng Việt,Phát âm (IPA),Định nghĩa chuyên môn,Ứng dụng thực tế
Phong cách phục vụ,Cơ bản,Family Style,Phục vụ gia đình,/ˈfæməli staɪl/,Thức ăn được đựng trong đĩa lớn để cả bàn chia sẻ,"Paella, lẩu được đặt giữa bàn để mọi người cùng ăn"
Phong cách phục vụ,Cao cấp,Tableside Service,Phục vụ tại bàn,/ˈteɪbəlˌsaɪd ˈsɜːrvɪs/,Chuẩn bị hoặc hoàn thiện món ăn ngay tại bàn khách,"Flambé, carving được thực hiện tại bàn khách"
Phong cách phục vụ,Cao cấp,Chef's Table,Bàn của bếp trưởng,/ʃefs ˈteɪbəl/,Bàn đặc biệt trong bếp để khách quan sát đầu bếp làm việc,Khách ngồi trong bếp xem chef nấu và được phục vụ đặc biệt
Phong cách phục vụ,Trung cấp,Tasting Menu Service,Phục vụ thực đơn nếm,/ˈteɪstɪŋ ˈmenjuː ˈsɜːrvɪs/,Phục vụ nhiều món nhỏ theo trình tự đã định,Omakase - 8-12 món nhỏ theo trình tự của chef
Phong cách phục vụ,Trung cấp,Wine Pairing Service,Phục vụ ghép rượu,/waɪn ˈpɛrɪŋ ˈsɜːrvɪs/,Phục vụ rượu phù hợp với từng món ăn,Mỗi món ăn đều có rượu vang phù hợp đi kèm
Phong cách phục vụ,Cơ bản,Plated Service,Phục vụ đĩa sẵn,/ˈpleɪtəd ˈsɜːrvɪs/,Phục vụ đĩa đã được trang trí hoàn chỉnh,Món ăn đã hoàn thiện được mang thẳng ra phục vụ
Phong cách phục vụ,Cơ bản,Butler Service,Phục vụ quản gia,/ˈbʌtlər ˈsɜːrvɪs/,Phục vụ cá nhân hóa cao cấp như quản gia riêng,Phục vụ cá nhân với sự chú ý đặc biệt đến từng khách
Phong cách phục vụ,Cơ bản,Cafeteria Service,Phục vụ tự phục vụ,/ˌkæfəˈtɪriə ˈsɜːrvɪs/,Khách hàng tự phục vụ tại quầy,Khách tự phục vụ tại quầy như trong căng tin
Phong cách phục vụ,Cao cấp,Banquet Service,Phục vụ tiệc,/ˈbæŋkwɪt ˈsɜːrvɪs/,Phục vụ cho sự kiện lớn với nhiều khách cùng lúc,Tiệc cưới 300 khách với service đồng bộ và chuyên nghiệp
Phong cách phục vụ,Trung cấp,Counter Service,Phục vụ quầy,/ˈkaʊntər ˈsɜːrvɪs/,Khách đặt món tại quầy và nhận tại chỗ,Quick service restaurant - khách order và nhận ngay
Chuyên môn đồ uống,Cao cấp,Sommelier,Chuyên gia rượu vang,/sʌməˈlɪeɪ/,"Chuyên gia về rượu vang, tư vấn và phục vụ rượu chuyên nghiệp",Tư vấn Bordeaux 2010 phù hợp với steak wagyu
Chuyên môn đồ uống,Cao cấp,Wine Pairing,Ghép đôi rượu vang,/waɪn ˈpɛrɪŋ/,Nghệ thuật kết hợp rượu với món ăn để tăng cường hương vị,"Chablis với hàu tươi, Pinot Noir với vịt quay"
Chuyên môn đồ uống,Cao cấp,Decanting,Rót rượu sang bình,/dɪˈkæntɪŋ/,Chuyển rượu sang bình khác để loại bỏ cặn và thông khí,Chuyển rượu vang cũ sang bình thuỷ tinh trong suốt
Chuyên môn đồ uống,Cao cấp,Aerating,Thông khí rượu,/ˈɛreɪtɪŋ/,Cho không khí tiếp xúc với rượu để mở hương vị,Mở rượu vang đỏ 30 phút trước khi phục vụ
Chuyên môn đồ uống,Trung cấp,Wine Tasting,Nếm rượu vang,/waɪn ˈteɪstɪŋ/,"Quy trình đánh giá rượu qua màu sắc, mùi hương và vị","Đánh giá màu, mùi, vị để xác định chất lượng"
Chuyên môn đồ uống,Trung cấp,Cocktail Mixology,Pha chế cocktail,/ˈkɒkteɪl mɪkˈsɒlədʒi/,Nghệ thuật pha chế cocktail chuyên nghiệp,"Negroni, Martini, Old Fashioned theo công thức chuẩn"
Chuyên môn đồ uống,Trung cấp,Flair Bartending,Pha chế biểu diễn,/flɛr ˈbɑːrtendɪŋ/,Pha chế kết hợp với động tác biểu diễn,"Tom Cruise trong ""Cocktail"" - pha chế kèm biểu diễn"
Chuyên môn đồ uống,Cơ bản,Muddling,Nghiền nguyên liệu,/ˈmʌdəlɪŋ/,"Nghiền trái cây, thảo mộc để chiết xuất tinh dầu",Mojito - nghiền lá mint để chiết xuất tinh dầu
Chuyên môn đồ uống,Cơ bản,Shaking,Lắc cocktail,/ˈʃeɪkɪŋ/,Lắc mạnh để trộn và làm lạnh cocktail,Whiskey Sour - lắc mạnh với đá để tạo bọt
Chuyên môn đồ uống,Cơ bản,Stirring,Khuấy cocktail,/ˈstɜːrɪŋ/,Khuấy nhẹ nhàng để trộn mà không tạo bọt,Manhattan - khuấy nhẹ với đá để không làm đục
Chuyên môn đồ uống,Cao cấp,Wine Cellar Management,Quản lý hầm rượu,/waɪn ˈselər ˈmænɪdʒmənt/,"Quản lý, bảo quản và phân loại rượu trong hầm","Hầm rượu 18°C, độ ẩm 70%, không rung động"
Chuyên môn đồ uống,Cao cấp,Vintage Selection,Chọn lựa vintage,/ˈvɪntɪdʒ sɪˈlekʃən/,Chọn lựa rượu theo năm sản xuất và chất lượng,Chọn Vintage Champagne 2008 cho dịp đặc biệt
Chuyên môn đồ uống,Trung cấp,Temperature Control,Kiểm soát nhiệt độ,/ˈtempərətʃər kənˈtroʊl/,Kiểm soát nhiệt độ bảo quản và phục vụ rượu,"Rượu vang đỏ 16-18°C, trắng 8-12°C"
Chuyên môn đồ uống,Trung cấp,Glassware Selection,Chọn ly phù hợp,/ˈglæsˌwɛr sɪˈlekʃən/,Chọn ly phù hợp cho từng loại đồ uống,"Burgundy glass cho Pinot Noir, Bordeaux glass cho Cabernet"
Chuyên môn đồ uống,Cơ bản,Serving Protocol,Quy trình phục vụ,/ˈsɜːrvɪŋ ˈproʊtəˌkɔl/,Quy trình chuẩn mực phục vụ đồ uống,"Mở rượu vang, kiểm tra nút chai, cho khách nếm trước"
Chuyên môn đồ uống,Cao cấp,Craft Beer,Thủ công nghiệp bia,/kræft bɪr/,Bia được sản xuất thủ công với nguyên liệu chất lượng cao,IPA craft beer với hoa bia địa phương
Chuyên môn đồ uống,Trung cấp,Espresso,Espresso,/eˈspresoʊ/,Cà phê được pha bằng máy áp suất cao,Double shot espresso 30ml trong 25-30 giây
Chuyên môn đồ uống,Cơ bản,Latte Art,Nghệ thuật latte,/ˈlɑːteɪ ɑːrt/,Tạo hình nghệ thuật trên bề mặt cà phê latte,Heart, rosetta, tulip patterns trên latte
Phân loại thực đơn,Cao cấp,Degustation Menu,Thực đơn thưởng thức,/ˌdegəˈsteɪʃən ˈmenjuː/,Thực đơn nhiều món nhỏ để khách nếm thử đa dạng hương vị,8 món nhỏ showcase tài năng chef qua nhiều técnica
Phân loại thực đơn,Cao cấp,Prix Fixe Menu,Thực đơn giá cố định,/priː fɪks ˈmenjuː/,Thực đơn có giá cố định bao gồm nhiều món,Set menu 3 món $85: soup + main + dessert
Phân loại thực đơn,Cao cấp,Tasting Menu,Thực đơn nếm thử,/ˈteɪstɪŋ ˈmenjuː/,Thực đơn được thiết kế để trải nghiệm hương vị toàn diện,Chef tự chọn 6 món để khách trải nghiệm đa dạng
Phân loại thực đơn,Trung cấp,À la Carte,Gọi món riêng lẻ,/ˌɑː lə ˈkɑːrt/,"Gọi món riêng lẻ theo sở thích, không theo set","Khách chọn soup $8, steak $45, dessert $12 riêng biệt"
Phân loại thực đơn,Trung cấp,Table d'Hôte,Thực đơn cố định,/ˌtɑːbəl ˈdoʊt/,Thực đơn cố định với lựa chọn hạn chế,"Set lunch $25: salad, fish, coffee - không đổi"
Phân loại thực đơn,Trung cấp,Seasonal Menu,Thực đơn theo mùa,/ˈsiːzənəl ˈmenjuː/,Thực đơn thay đổi theo mùa vụ nguyên liệu,"Menu mùa xuân: măng tây, mùa thu: nấm truffle"
Phân loại thực đơn,Cơ bản,Chef's Special,Món đặc biệt bếp trưởng,/ʃefs ˈspeʃəl/,Món đặc biệt do bếp trưởng sáng tạo hàng ngày,Hôm nay có special: sea bass vừa về từ bến cảng
Phân loại thực đơn,Cơ bản,Market Menu,Thực đơn chợ,/ˈmɑːrkɪt ˈmenjuː/,Thực đơn dựa trên nguyên liệu tươi từ chợ,Menu thay đổi dựa trên nguyên liệu tươi từ chợ sáng
Phân loại thực đơn,Cơ bản,Pre-Theater Menu,Thực đơn trước kịch,/priː ˈθiːətər ˈmenjuː/,Thực đơn nhanh cho khách đi xem kịch,Menu 2 tiếng hoàn thành trước 8pm curtain call
Phân loại thực đơn,Cao cấp,Wine Dinner Menu,Thực đơn tiệc rượu,/waɪn ˈdɪnər ˈmenjuː/,Thực đơn kết hợp với rượu vang cao cấp,Menu 5 món kết hợp với 5 ly rượu vang premium
Phân loại thực đơn,Trung cấp,Vegetarian Menu,Thực đơn chay,/ˌvedʒəˈtɛriən ˈmenjuː/,"Thực đơn không có thịt, chỉ có rau và sữa","Menu không thịt: quinoa salad, mushroom risotto"
Phân loại thực đơn,Trung cấp,Vegan Menu,Thực đơn thuần chay,/ˈviːgən ˈmenjuː/,Thực đơn hoàn toàn từ thực vật,"Menu hoàn toàn thực vật: không trứng, sữa, mật ong"
Phân loại thực đơn,Cơ bản,Children's Menu,Thực đơn trẻ em,/ˈtʃɪldrənz ˈmenjuː/,Thực đơn phù hợp với trẻ em,"Menu trẻ em: chicken nuggets, mac & cheese"
Phân loại thực đơn,Cơ bản,Senior Menu,Thực đơn người cao tuổi,/ˈsiːnjər ˈmenjuː/,Thực đơn cho người cao tuổi với khẩu phần nhỏ,"Menu người cao tuổi: portion nhỏ, dễ nhai"
Phân loại thực đơn,Cơ bản,Gluten-Free Menu,Thực đơn không gluten,/ˈgluːtən friː ˈmenjuː/,Thực đơn không chứa gluten cho người dị ứng,Menu không gluten: thay thế bằng rice flour
Phân loại thực đơn,Cao cấp,Omakase Menu,Thực đơn omakase,/oʊməˈkɑːseɪ ˈmenjuː/,Thực đơn để chef tự quyết định món ăn cho khách,Chef chọn 10-15 món theo tài năng và nguyên liệu tươi
Phân loại thực đơn,Trung cấp,Brunch Menu,Thực đơn brunch,/brʌntʃ ˈmenjuː/,Thực đơn kết hợp giữa breakfast và lunch,"Eggs benedict, avocado toast, pancakes từ 10am-2pm"
Vận hành bếp,Cao cấp,Mise en Place,Chuẩn bị sẵn sàng,/miːz ɒn ˈplɑːs/,Chuẩn bị tất cả nguyên liệu và dụng cụ trước khi nấu,"Tất cả nguyên liệu cắt sẵn, gia vị đong sẵn trước service"
Vận hành bếp,Cao cấp,Brigade System,Hệ thống phân đội,/brɪˈgeɪd ˈsɪstəm/,Hệ thống phân công rõ ràng trong bếp chuyên nghiệp,Executive Chef > Sous Chef > CDP > Demi > Commis
Vận hành bếp,Trung cấp,Expediting,Điều phối xuất món,/ˈekspəˌdaɪtɪŋ/,Kiểm tra và điều phối món ăn trước khi ra khách,"Kiểm tra temperature, presentation trước khi pass"
Vận hành bếp,Trung cấp,Food Costing,Tính giá thành món ăn,/fuːd ˈkɔːstɪŋ/,Tính toán chi phí nguyên liệu cho từng món ăn,Food cost 28% revenue - steak cost $12 bán $42
Vận hành bếp,Trung cấp,Portion Control,Kiểm soát khẩu phần,/ˈpɔːrʃən kənˈtroʊl/,Kiểm soát kích thước và trọng lượng khẩu phần chuẩn,"Mỗi portion steak 200g, mỗi ly wine 150ml chuẩn"
Vận hành bếp,Cơ bản,Kitchen Prep,Chuẩn bị bếp,/ˈkɪtʃən prep/,Chuẩn bị nguyên liệu và thiết lập bếp trước ca làm,"Prep list: cắt 5kg onion, làm 2L stock, marinate 20 steaks"
Vận hành bếp,Cơ bản,Line Cooking,Nấu ăn dây chuyền,/laɪn ˈkʊkɪŋ/,"Nấu ăn theo dây chuyền, mỗi người một nhiệm vụ cụ thể","Grill station nướng, sauté station xào, garde manger salad"
Vận hành bếp,Cơ bản,Plating,Trang trí đĩa,/ˈpleɪtɪŋ/,Trang trí và trình bày món ăn trên đĩa nghệ thuật,"Plating: protein 6h, starch 3h, vegetable 9h position"
Vận hành bếp,Cao cấp,Quality Control,Kiểm soát chất lượng,/ˈkwɑːləti kənˈtroʊl/,Kiểm tra chất lượng món ăn trước khi phục vụ,"Check temperature 63°C, seasoning, presentation mỗi dish"
Vận hành bếp,Cao cấp,Menu Engineering,Kỹ thuật thực đơn,/ˈmenjuː ˌendʒəˈnɪrɪŋ/,Thiết kế thực đơn tối ưu lợi nhuận và sở thích khách,"Phân tích menu: dish nào profitable, nào cần adjust giá"
Vận hành bếp,Trung cấp,Inventory Management,Quản lý kho,/ˈɪnvənˌtɔri ˈmænɪdʒmənt/,"Quản lý nguyên liệu, theo dõi tồn kho và đặt hàng","Theo dõi inventory, đặt hàng khi stock còn 20%"
Vận hành bếp,Trung cấp,HACCP Standards,Tiêu chuẩn HACCP,/ˈhæsəp ˈstændərdz/,Tiêu chuẩn quốc tế về an toàn thực phẩm,"Critical Control Points: nhiệt độ, thời gian, contamination"
Vận hành bếp,Cơ bản,Food Safety,An toàn thực phẩm,/fuːd ˈseɪfti/,Đảm bảo vệ sinh và an toàn trong chế biến thực phẩm,"Wash hands, separate raw/cooked, maintain cold chain"
Vận hành bếp,Cơ bản,Cross-Training,Đào tạo chéo,/krɔs ˈtreɪnɪŋ/,Đào tạo nhân viên làm nhiều vị trí khác nhau,"Server có thể expedite, prep cook có thể work line"
Vận hành bếp,Cơ bản,Station Setup,Thiết lập vị trí,/ˈsteɪʃən ˈsetʌp/,Sắp xếp và tổ chức không gian làm việc hiệu quả,"Mỗi station có toolkit riêng, clean as you go"
Vận hành bếp,Cao cấp,Molecular Mixology,Pha chế phân tử,/məˈlekjələr mɪkˈsɒlədʒi/,Ứng dụng khoa học vào pha chế cocktail,"Spherification cocktail, smoke-infused drinks"
Vận hành bếp,Trung cấp,Zero Waste Kitchen,Bếp không rác thải,/ˈziːroʊ weɪst ˈkɪtʃən/,Tối ưu hóa sử dụng nguyên liệu không lãng phí,Composting, vegetable scraps làm stock
Quản lý khách sạn,Cao cấp,Revenue Management,Quản lý doanh thu,/ˈrevəˌnuː ˈmænɪdʒmənt/,Tối ưu hóa giá phòng để tối đa hóa lợi nhuận,Dynamic pricing theo demand và seasonality
Quản lý khách sạn,Cao cấp,Yield Management,Quản lý năng suất,/jiːld ˈmænɪdʒmənt/,Tối ưu hóa doanh thu từ capacity có sẵn,Sell high-value rooms trước, overbook strategically
Quản lý khách sạn,Trung cấp,Front Office Operations,Hoạt động lễ tân,/frʌnt ˈɔfɪs ˌɒpəˈreɪʃənz/,Quản lý các hoạt động hàng ngày tại bộ phận lễ tân,Check-in/out, reservations, guest services
Quản lý khách sạn,Trung cấp,Housekeeping Management,Quản lý buồng phòng,/ˈhaʊskiːpɪŋ ˈmænɪdʒmənt/,Quản lý việc dọn dẹp và bảo trì phòng khách,Room status, cleaning schedules, maintenance
Quản lý khách sạn,Trung cấp,Concierge Services,Dịch vụ concierge,/ˈkɒnsɪeəʒ ˈsɜːrvɪsɪz/,Dịch vụ hỗ trợ khách hàng cá nhân hóa cao,Restaurant reservations, tour bookings, special requests
Quản lý khách sạn,Cơ bản,Guest Relations,Quan hệ khách hàng,/ɡest rɪˈleɪʃənz/,Xây dựng và duy trì mối quan hệ tốt với khách hàng,Handle complaints, special occasions, loyalty programs
Quản lý khách sạn,Cơ bản,Property Management,Quản lý tài sản,/ˈprɒpərti ˈmænɪdʒmənt/,Quản lý tổng thể tài sản khách sạn,Maintenance, renovations, capital improvements
Quản lý khách sạn,Cơ bản,Staff Training,Đào tạo nhân viên,/stæf ˈtreɪnɪŋ/,Đào tạo và phát triển kỹ năng cho nhân viên,Orientation, skill development, certification programs
Quản lý khách sạn,Cao cấp,Asset Management,Quản lý tài sản đầu tư,/ˈæset ˈmænɪdʒmənt/,Quản lý tài sản khách sạn như một khoản đầu tư,ROI optimization, property valuation, portfolio management
Quản lý khách sạn,Cao cấp,Brand Standards,Tiêu chuẩn thương hiệu,/brænd ˈstændərdz/,Duy trì tính nhất quán của thương hiệu khách sạn,Service standards, visual identity, guest experience
Quản lý khách sạn,Trung cấp,Quality Assurance,Đảm bảo chất lượng,/ˈkwɑːləti əˈʃʊrəns/,Đảm bảo chất lượng dịch vụ đạt tiêu chuẩn,Mystery shopping, guest feedback, performance metrics
Quản lý khách sạn,Trung cấp,Cost Control,Kiểm soát chi phí,/kɔst kənˈtroʊl/,Quản lý và kiểm soát chi phí hoạt động,Budget management, expense tracking, cost reduction
Quản lý khách sạn,Cơ bản,Inventory Control,Kiểm soát tồn kho,/ˈɪnvənˌtɔri kənˈtroʊl/,Quản lý tồn kho vật tư và thiết bị,Stock levels, ordering systems, waste reduction
Quản lý khách sạn,Cơ bản,Security Management,Quản lý an ninh,/sɪˈkjʊrəti ˈmænɪdʒmənt/,Đảm bảo an ninh và an toàn cho khách và tài sản,Access control, surveillance, emergency procedures
Marketing & Sales,Cao cấp,Digital Marketing,Marketing số,/ˈdɪdʒɪtəl ˈmɑːrkɪtɪŋ/,Sử dụng kênh số để quảng bá và bán dịch vụ,Social media, email campaigns, online advertising
Marketing & Sales,Cao cấp,Brand Positioning,Định vị thương hiệu,/brænd pəˈzɪʃənɪŋ/,Xác định vị trí thương hiệu trong thị trường,Luxury positioning, value proposition, competitive analysis
Marketing & Sales,Trung cấp,Revenue Optimization,Tối ưu hóa doanh thu,/ˈrevəˌnuː ˌɒptɪmaɪˈzeɪʃən/,Tối đa hóa doanh thu thông qua các chiến lược khác nhau,Pricing strategies, upselling, package deals
Marketing & Sales,Trung cấp,Guest Acquisition,Thu hút khách hàng,/ɡest ˌækwɪˈzɪʃən/,Chiến lược thu hút khách hàng mới,Direct bookings, OTA partnerships, loyalty programs
Marketing & Sales,Trung cấp,Market Research,Nghiên cứu thị trường,/ˈmɑːrkɪt rɪˈsɜːrtʃ/,Phân tích thị trường và đối thủ cạnh tranh,Competitor analysis, guest demographics, market trends
Marketing & Sales,Cơ bản,Social Media Marketing,Marketing mạng xã hội,/ˈsoʊʃəl ˈmiːdiə ˈmɑːrkɪtɪŋ/,Sử dụng mạng xã hội để quảng bá dịch vụ,Instagram, Facebook, TikTok content creation
Marketing & Sales,Cơ bản,Email Marketing,Marketing email,/ˈiːmeɪl ˈmɑːrkɪtɪŋ/,Sử dụng email để giao tiếp với khách hàng,Newsletters, promotional campaigns, guest retention
Marketing & Sales,Cơ bản,Content Marketing,Marketing nội dung,/ˈkɒntent ˈmɑːrkɪtɪŋ/,Tạo nội dung hấp dẫn để thu hút khách hàng,Blog posts, videos, travel guides
Marketing & Sales,Cao cấp,Influencer Marketing,Marketing người ảnh hưởng,/ˈɪnfluənsər ˈmɑːrkɪtɪŋ/,Hợp tác với người có ảnh hưởng để quảng bá,Travel bloggers, food critics, celebrity partnerships
Marketing & Sales,Cao cấp,CRM Strategy,Chiến lược CRM,/siː ɑːr em ˈstrætədʒi/,Quản lý mối quan hệ khách hàng hiệu quả,Guest profiles, personalized service, loyalty programs
Marketing & Sales,Trung cấp,SEO Optimization,Tối ưu hóa SEO,/es iː oʊ ˌɒptɪmaɪˈzeɪʃən/,Tối ưu hóa website để xuất hiện trên Google,Keyword research, content optimization, local SEO
Marketing & Sales,Trung cấp,PPC Advertising,Quảng cáo PPC,/piː piː siː ˈædvərˌtaɪzɪŋ/,Quảng cáo trả phí trên các nền tảng tìm kiếm,Google Ads, Bing Ads, Facebook Ads campaigns
Marketing & Sales,Cơ bản,Local Marketing,Marketing địa phương,/ˈloʊkəl ˈmɑːrkɪtɪŋ/,Quảng bá dịch vụ trong cộng đồng địa phương,Local partnerships, community events, regional promotions
Marketing & Sales,Cơ bản,Event Marketing,Marketing sự kiện,/ɪˈvent ˈmɑːrkɪtɪŋ/,Quảng bá thông qua các sự kiện và hoạt động,Weddings, conferences, special celebrations
Dịch vụ khách hàng,Cao cấp,Service Excellence,Dịch vụ xuất sắc,/ˈsɜːrvɪs ɪkˈseləns/,Cung cấp dịch vụ vượt trên mong đợi của khách hàng,Anticipating needs, going above and beyond
Dịch vụ khách hàng,Cao cấp,Personalized Service,Dịch vụ cá nhân hóa,/ˈpɜːrsənəˌlaɪzd ˈsɜːrvɪs/,Tùy chỉnh dịch vụ theo sở thích cá nhân của khách,Guest preferences, special occasions, custom experiences
Dịch vụ khách hàng,Trung cấp,Guest Recovery,Khôi phục khách hàng,/ɡest rɪˈkʌvəri/,Khôi phục mối quan hệ sau khi khách có trải nghiệm không tốt,Apology protocols, compensation, service recovery
Dịch vụ khách hàng,Trung cấp,Complaint Handling,Xử lý khiếu nại,/kəmˈpleɪnt ˈhændəlɪŋ/,Xử lý hiệu quả các khiếu nại của khách hàng,Active listening, problem solving, follow-up
Dịch vụ khách hàng,Trung cấp,Expectation Management,Quản lý kỳ vọng,/ˌekspekˈteɪʃən ˈmænɪdʒmənt/,Quản lý và đáp ứng kỳ vọng của khách hàng,Clear communication, realistic promises, delivery
Dịch vụ khách hàng,Cơ bản,Guest Communication,Giao tiếp với khách,/ɡest kəˌmjuːnɪˈkeɪʃən/,Kỹ năng giao tiếp hiệu quả với khách hàng,Active listening, clear explanations, cultural sensitivity
Dịch vụ khách hàng,Cơ bản,Problem Solving,Giải quyết vấn đề,/ˈprɒbləm ˈsɒlvɪŋ/,Khả năng xác định và giải quyết vấn đề nhanh chóng,Root cause analysis, creative solutions, quick response
Dịch vụ khách hàng,Cơ bản,Multilingual Service,Dịch vụ đa ngôn ngữ,/ˌmʌltiˈlɪŋɡwəl ˈsɜːrvɪs/,Cung cấp dịch vụ bằng nhiều ngôn ngữ khác nhau,Language training, translation services, cultural awareness
