english,vietnamese,ipa,category,definition,example,level
Self Service,Tự phục vụ,[self ˈsɜːrvɪs],Table Skills,Self-help dining,Self service buffet.,Basic
Buffet Service,Dịch vụ buffet,[bəˈfeɪ ˈsɜːrvɪs],Table Skills,Self-serve dining,Buffet service setup.,Basic
Family Style,Phong cách gia đình,[ˈfæməli staɪl],Table Skills,Shared dishes,Family style dining.,Basic
Plated Service,Dịch vụ đĩa,[ˈpleɪtɪd ˈsɜːrvɪs],Table Skills,Individual plates,Plated service style.,Basic
French Service,Dịch vụ Pháp,[frentʃ ˈsɜːrvɪs],Table Skills,Formal service style,French service protocol.,Basic
Russian Service,Dịch vụ Nga,[ˈrʌʃən ˈsɜːrvɪs],Table Skills,Silver service,Russian service style.,Basic
American Service,Dịch vụ Mỹ,[əˈmerɪkən ˈsɜːrvɪs],Table Skills,Informal service,American service style.,Basic
Table Manners,Phép tắc bàn ăn,[ˈteɪbəl ˈmænərz],Table Skills,Dining etiquette,Good table manners.,Basic
Dining Etiquette,Phép tắc ăn uống,[ˈdaɪnɪŋ ˈetɪket],Table Skills,Meal behavior,Proper dining etiquette.,Basic
Table Conversation,Trò chuyện bàn ăn,[ˈteɪbəl ˌkɑːnvərˈseɪʃən],Table Skills,Meal discussion,Polite table conversation.,Basic
Toast,Nâng ly,[toʊst],Table Skills,Honorary drink,Make a toast.,Basic
Cheers,Chúc mừng,[tʃɪrz],Table Skills,Drinking salute,Say cheers.,Basic
Grace,Cầu nguyện,[greɪs],Table Skills,Meal prayer,Say grace before eating.,Basic
Appetizer,Món khai vị,[ˈæpətaɪzər],Table Skills,Starter course,Appetizer before main course.,Basic
Main Course,Món chính,[meɪn kɔːrs],Table Skills,Primary dish,Main course selection.,Basic
Dessert,Món tráng miệng,[dɪˈzɜːrt],Table Skills,Sweet course,Dessert after dinner.,Basic
Course,Đợt,[kɔːrs],Table Skills,Meal portion,First course served.,Basic
Menu,Thực đơn,[ˈmenjuː],Table Skills,Food list,Today's menu.,Basic
Wine List,Danh sách rượu,[waɪn lɪst],Table Skills,Wine menu,Wine list available.,Basic
Special,Đặc biệt,[ˈspeʃəl],Table Skills,Daily special,Chef's special today.,Basic
Recommendation,Gợi ý,[ˌrekəmenˈdeɪʃən],Table Skills,Suggestion,Menu recommendation.,Basic
Dietary Requirements,Yêu cầu ăn uống,[ˈdaɪəˌteri rɪˈkwaɪərmənts],Table Skills,Food needs,Dietary requirements noted.,Basic
Allergies,Dị ứng,[ˈælərdʒiz],Table Skills,Food reactions,Any allergies?,Basic
Vegetarian Options,Tùy chọn chay,[ˌvedʒəˈteriən ˈɑːpʃənz],Table Skills,Meat-free choices,Vegetarian options available.,Basic
Vegan Options,Tùy chọn thuần chay,[ˈviːgən ˈɑːpʃənz],Table Skills,Plant-based choices,Vegan options on menu.,Basic
Gluten Free,Không gluten,[ˈgluːtən friː],Table Skills,No wheat protein,Gluten free options.,Basic
Dairy Free,Không sữa,[ˈderi friː],Table Skills,No milk products,Dairy free alternatives.,Basic
Nut Free,Không hạt,[nʌt friː],Table Skills,No tree nuts,Nut free kitchen.,Basic
Spice Level,Độ cay,[spaɪs ˈlevəl],Table Skills,Heat intensity,What spice level?,Basic
Mild,Ít cay,[maɪld],Table Skills,Not spicy,Mild flavor.,Basic
Medium,Trung bình,[ˈmiːdiəm],Table Skills,Moderate heat,Medium spice level.,Basic
Hot,Cay,[hɑːt],Table Skills,Spicy,Hot and spicy.,Basic
Extra Hot,Rất cay,[ˈekstrə hɑːt],Table Skills,Very spicy,Extra hot sauce.,Basic
Temperature,Nhiệt độ,[ˈtempərətʃər],Table Skills,Heat level,Food temperature.,Basic
Hot,Nóng,[hɑːt],Table Skills,High temperature,Serve hot.,Basic
Warm,Ấm,[wɔːrm],Table Skills,Moderate heat,Keep warm.,Basic
Cold,Lạnh,[koʊld],Table Skills,Low temperature,Serve cold.,Basic
Room Temperature,Nhiệt độ phòng,[ruːm ˈtempərətʃər],Table Skills,Ambient heat,Room temperature wine.,Basic
Fresh,Tươi,[freʃ],Table Skills,Recently prepared,Fresh ingredients.,Basic
Frozen,Đông lạnh,[ˈfroʊzən],Table Skills,Very cold,Frozen dessert.,Basic
Crispy,Giòn,[ˈkrɪspi],Table Skills,Crunchy texture,Crispy outside.,Basic
Tender,Mềm,[ˈtendər],Table Skills,Soft texture,Tender meat.,Basic
Juicy,Nhiều nước,[ˈdʒuːsi],Table Skills,Moist texture,Juicy fruit.,Basic
Dry,Khô,[draɪ],Table Skills,Not moist,Dry wine.,Basic
Sweet,Ngọt,[swiːt],Table Skills,Sugar taste,Sweet dessert.,Basic
Sour,Chua,[saʊər],Table Skills,Acidic taste,Sour lemon.,Basic
Bitter,Đắng,[ˈbɪtər],Table Skills,Unpleasant taste,Bitter coffee.,Basic
Salty,Mặn,[ˈsɔːlti],Table Skills,Salt taste,Salty snack.,Basic
Savory,Mặn,[ˈseɪvəri],Table Skills,Umami taste,Savory dish.,Basic
Bland,Nhạt,[blænd],Table Skills,No strong flavor,Bland food.,Basic
Rich,Đậm đà,[rɪtʃ],Table Skills,Strong flavor,Rich sauce.,Basic
Light,Nhẹ,[laɪt],Table Skills,Mild flavor,Light meal.,Basic
Heavy,Nặng,[ˈhevi],Table Skills,Strong flavor,Heavy meal.,Basic
Spicy,Cay,[ˈspaɪsi],Table Skills,Hot flavor,Spicy food.,Basic
Aromatic,Thơm,[ˌerəˈmætɪk],Table Skills,Strong smell,Aromatic herbs.,Basic
Fragrant,Thơm,[ˈfreɪgrənt],Table Skills,Pleasant smell,Fragrant flowers.,Basic
Smoky,Khói,[ˈsmoʊki],Table Skills,Smoke flavor,Smoky barbecue.,Basic
Grilled,Nướng,[grɪld],Table Skills,Cooked on grill,Grilled chicken.,Basic
Fried,Chiên,[fraɪd],Table Skills,Cooked in oil,Fried rice.,Basic
Boiled,Luộc,[bɔɪld],Table Skills,Cooked in water,Boiled eggs.,Basic
Steamed,Hấp,[stiːmd],Table Skills,Cooked with steam,Steamed vegetables.,Basic
Baked,Nướng,[beɪkt],Table Skills,Cooked in oven,Baked bread.,Basic
Roasted,Quay,[roʊstɪd],Table Skills,Cooked with dry heat,Roasted turkey.,Basic
Raw,Sống,[rɔː],Table Skills,Uncooked,Raw vegetables.,Basic
Rare,Tái,[rer],Table Skills,Minimally cooked,Rare steak.,Basic
Medium,Chín vừa,[ˈmiːdiəm],Table Skills,Moderately cooked,Medium steak.,Basic
Well Done,Chín kỹ,[wel dʌn],Table Skills,Thoroughly cooked,Well done steak.,Basic
Overcooked,Chín quá,[ˌoʊvərˈkʊkt],Table Skills,Too much cooking,Overcooked vegetables.,Basic
Undercooked,Chưa chín,[ˌʌndərˈkʊkt],Table Skills,Not enough cooking,Undercooked meat.,Basic
Perfect,Hoàn hảo,[ˈpɜːrfɪkt],Table Skills,Exactly right,Perfectly cooked.,Basic
Delicious,Ngon,[dɪˈlɪʃəs],Table Skills,Very tasty,Delicious meal.,Basic
Tasty,Ngon,[ˈteɪsti],Table Skills,Good flavor,Tasty food.,Basic
Flavorful,Đậm đà,[ˈfleɪvərfəl],Table Skills,Strong taste,Flavorful sauce.,Basic
Bland,Nhạt,[blænd],Table Skills,No flavor,Bland taste.,Basic
Tasteless,Vô vị,[ˈteɪstləs],Table Skills,No flavor,Tasteless food.,Basic
Excellent,Xuất sắc,[ˈeksələnt],Table Skills,Very good,Excellent quality.,Basic
Good,Tốt,[gʊd],Table Skills,Positive quality,Good service.,Basic
Average,Trung bình,[ˈævərɪdʒ],Table Skills,Moderate quality,Average meal.,Basic
Poor,Kém,[pʊr],Table Skills,Low quality,Poor quality.,Basic
Terrible,Khủng khiếp,[ˈterəbəl],Table Skills,Very bad,Terrible food.,Basic
Satisfied,Hài lòng,[ˈsætɪsfaɪd],Table Skills,Content,Are you satisfied?,Basic
Pleased,Hài lòng,[pliːzd],Table Skills,Happy,Pleased with service.,Basic
Disappointed,Thất vọng,[ˌdɪsəˈpɔɪntɪd],Table Skills,Unhappy,Disappointed with meal.,Basic
Complaint,Khiếu nại,[kəmˈpleɪnt],Table Skills,Problem report,File a complaint.,Basic
Compliment,Khen ngợi,[ˈkɑːmpləmənt],Table Skills,Praise,Give a compliment.,Basic
Feedback,Phản hồi,[ˈfiːdbæk],Table Skills,Opinion,Provide feedback.,Basic
Review,Đánh giá,[rɪˈvjuː],Table Skills,Evaluation,Write a review.,Basic
Rating,Đánh giá,[ˈreɪtɪŋ],Table Skills,Score,Five star rating.,Basic
Recommend,Khuyên,[ˌrekəˈmend],Table Skills,Suggest,Recommend this dish.,Basic
Avoid,Tránh,[əˈvɔɪd],Table Skills,Stay away from,Avoid this item.,Basic
Try,Thử,[traɪ],Table Skills,Test,Try this dish.,Basic
Taste,Nếm,[teɪst],Table Skills,Sample,Taste the soup.,Basic
Smell,Ngửi,[smel],Table Skills,Inhale scent,Smell the aroma.,Basic
Look,Trông,[lʊk],Table Skills,Appear,Look delicious.,Basic
Sound,Âm thanh,[saʊnd],Table Skills,Audio,Listen to sizzle.,Basic
Texture,Kết cấu,[ˈtekstʃər],Table Skills,Feel,Soft texture.,Basic
Mouthfeel,Cảm giác miệng,[ˈmaʊθfiːl],Table Skills,Texture in mouth,Smooth mouthfeel.,Basic
Aftertaste,Hậu vị,[ˈæftərteɪst],Table Skills,Flavor after swallowing,Long aftertaste.,Basic
Palate,Khẩu vị,[ˈpælət],Table Skills,Taste preference,Refined palate.,Basic
Appetite,Sự thèm ăn,[ˈæpətaɪt],Table Skills,Desire to eat,Good appetite.,Basic
Hungry,Đói,[ˈhʌŋgri],Table Skills,Need food,Are you hungry?,Basic
Full,No,[fʊl],Table Skills,Not hungry,Are you full?,Basic
Thirsty,Khát,[ˈθɜːrsti],Table Skills,Need drink,Are you thirsty?,Basic
Thirst,Sự khát,[θɜːrst],Table Skills,Need for liquid,Quench your thirst.,Basic
Satiated,Thỏa mãn,[ˈseɪʃieɪtɪd],Table Skills,Satisfied,Feel satiated.,Basic
Stuffed,No căng,[stʌft],Table Skills,Very full,Stuffed after meal.,Basic
Starving,Đói khát,[ˈstɑːrvɪŋ],Table Skills,Very hungry,Starving for food.,Basic
Craving,Thèm,[ˈkreɪvɪŋ],Table Skills,Strong desire,Craving for sweets.,Basic
Desire,Mong muốn,[dɪˈzaɪər],Table Skills,Want,Desire for dessert.,Basic
Preference,Sở thích,[ˈprefərəns],Table Skills,Choice,Food preference.,Basic
Choice,Lựa chọn,[tʃɔɪs],Table Skills,Option,Make a choice.,Basic
Option,Tùy chọn,[ˈɑːpʃən],Table Skills,Alternative,Menu options.,Basic
Alternative,Thay thế,[ɔːlˈtɜːrnətɪv],Table Skills,Other choice,Alternative menu.,Basic
Substitute,Thay thế,[ˈsʌbstətuːt],Table Skills,Replacement,Substitute ingredient.,Basic
Modification,Thay đổi,[ˌmɑːdəfəˈkeɪʃən],Table Skills,Change,Menu modification.,Basic
Customization,Tùy chỉnh,[ˌkʌstəmaɪˈzeɪʃən],Table Skills,Personalization,Food customization.,Basic
Special Request,Yêu cầu đặc biệt,[ˈspeʃəl rɪˈkwest],Table Skills,Special need,Special request noted.,Basic
Dietary Needs,Nhu cầu ăn uống,[ˈdaɪəˌteri niːdz],Table Skills,Food requirements,Dietary needs considered.,Basic
Food Restrictions,Hạn chế thực phẩm,[fuːd rɪˈstrɪkʃənz],Table Skills,Food limitations,Food restrictions noted.,Basic
Meal Plan,Kế hoạch bữa ăn,[miːl plæn],Table Skills,Eating schedule,Weekly meal plan.,Basic
Menu Planning,Lập kế hoạch thực đơn,[ˈmenjuː ˈplænɪŋ],Table Skills,Menu design,Menu planning session.,Basic
Food Preparation,Chuẩn bị thực phẩm,[fuːd ˌprepəˈreɪʃən],Table Skills,Cooking process,Food preparation time.,Basic
Cooking Method,Phương pháp nấu,[ˈkʊkɪŋ ˈmeθəd],Table Skills,Cooking technique,Cooking method choice.,Basic
Preparation Time,Thời gian chuẩn bị,[ˌprepəˈreɪʃən taɪm],Table Skills,Cooking duration,Preparation time needed.,Basic
Cooking Time,Thời gian nấu,[ˈkʊkɪŋ taɪm],Table Skills,Heat duration,Cooking time required.,Basic
Serving Time,Thời gian phục vụ,[ˈsɜːrvɪŋ taɪm],Table Skills,Meal delivery,Serving time schedule.,Basic
Meal Time,Giờ ăn,[miːl taɪm],Table Skills,Eating schedule,Regular meal times.,Basic
Breakfast Time,Giờ ăn sáng,[ˈbrekfəst taɪm],Table Skills,Morning meal,Breakfast time 7-10 AM.,Basic
Lunch Time,Giờ ăn trưa,[lʌntʃ taɪm],Table Skills,Midday meal,Lunch time 12-2 PM.,Basic
Dinner Time,Giờ ăn tối,[ˈdɪnər taɪm],Table Skills,Evening meal,Dinner time 6-9 PM.,Basic
Snack Time,Giờ ăn vặt,[snæk taɪm],Table Skills,Between meals,Snack time available.,Basic
Happy Hour,Giờ vui,[ˈhæpi aʊər],Table Skills,Drink specials,Happy hour 5-7 PM.,Basic
Last Order,Đơn cuối,[læst ˈɔːrdər],Table Skills,Final order,Last order at 9 PM.,Basic
Closing Time,Giờ đóng cửa,[ˈkloʊzɪŋ taɪm],Table Skills,End of service,Closing time 10 PM.,Basic
Opening Time,Giờ mở cửa,[ˈoʊpənɪŋ taɪm],Table Skills,Start of service,Opening time 6 AM.,Basic
Service Hours,Giờ phục vụ,[ˈsɜːrvɪs aʊərz],Table Skills,Operating hours,Service hours posted.,Basic
Business Hours,Giờ làm việc,[ˈbɪznəs aʊərz],Table Skills,Operating schedule,Business hours 24/7.,Basic
Peak Hours,Giờ cao điểm,[piːk aʊərz],Table Skills,Busy times,Peak hours 12-1 PM.,Basic
Off Hours,Giờ thấp điểm,[ɔːf aʊərz],Table Skills,Quiet times,Off hours 3-5 PM.,Basic
Rush Hour,Giờ cao điểm,[rʌʃ aʊər],Table Skills,Busy period,Lunch rush hour.,Basic
Slow Period,Thời gian vắng,[sloʊ ˈpɪriəd],Table Skills,Quiet time,Slow period 3-4 PM.,Basic
Busy Period,Thời gian bận,[ˈbɪzi ˈpɪriəd],Table Skills,Active time,Busy period 7-8 PM.,Basic
Quiet Period,Thời gian yên tĩnh,[ˈkwaɪət ˈpɪriəd],Table Skills,Calm time,Quiet period 2-4 PM.,Basic
